ST,Flavour,Model Folder Name,Item/UI Folder Name,Online Persistence Tag Name,Model Folder Parts,DA_OI Parts,Merged with,Warning
ID_PLAYERSKIN_FENCER,Riposta,Fencer,Fencer,Fencer,"ArmPad, Body, ChestPlate, Glasses, Helmet, HipBox, Sash, Visor","Fencer: ArmPad, Body, ChestPlate, Glasses, Helmet, HipBox, Sash, Visor",,
ID_PLAYERSKIN_GHILLIE,Nascosto,Ghillie,Ghillie,Ghillie,"Cable, Flower, Frame, Gloves, Hoodie, Lowerbody, PadMiddle, Pads, Radio, Sheisty, SheistyOpen, Tech, Upperbody","Ghillie: Cable, Flower, Frame, Gloves, Hoodie, Lowerbody, PadMiddle, Pads, Radio, Sheisty, SheistyOpen, Tech, Upperbody",,
ID_PLAYERSKIN_GOALIE,Goalie,Goalie,Goalie,Goalie,"Boots, ChestGuard, Gloves, Helmet, HelmetUp, LegBox, Pants, Pauldrons, RadioBag, Shirt, Upperbody, Visor","Goalie: Boots, ChestGuard, Gloves, Helmet, LegBox, Pants, Pauldrons, RadioBag, Shirt, UpperBody, Visor",,
ID_PLAYERSKIN_GRANDRACER,Torque,GrandRacer,GrandRacer,GrandRacer,"Boots, Gloves, Helmet, Jacket, Kneepads, Legpouch, Lowerbody, ShoulderPad, StrapsTop, Upperbody, Visor","GrandRacer: Boots, Gloves, Helmet, Jacket, Kneepads, Legpouch, LowerBody, ShoulderPad, StrapsTop, UpperBody, Visor",,
ID_PLAYERSKIN_GREENHORN,Patrol,Greenhorn,Greenhorn,Greenhorn,"Beanie, Helmet, Jacket, Lowerbody, Tech, Upperbody, WaistBelts",,,
ID_PLAYERSKIN_GSUIT,G-Suit,Gsuit,Gsuit,Gsuit,"Accessories, Boots, Headgear, Helmet, Suit, Tubes, Vest, Visor","Gsuit: Accessories, Boots, Headgear, Helmet, Suit, Tubes, Vest, Visor",,
ID_PLAYERSKIN_GWRANGER,Chap,GWRanger,GWRanger,GWRanger,"Ammeter, GlovesUnder, Goggles, Helmet, LeatherBag, LowerBody, Scarf, Sleeves, SleevesShort, UpperBody, Walkman","GWRanger: Ammeter, GlovesUnder, Goggles, Helmet, LeatherBag, LowerBody, Scarf, Sleeves, UpperBody, Walkman",,
ID_PLAYERSKIN_FLAMETHROWER,Zenith,Hazard,Flamethrower,Flamethrower,"Armor, Arms, Balaclava, Belt, Boots, Canister, Chigurh, Gloves, Harness, Headgear, Lowerbody, Mantle, Mask, Upperbody, Visor","Flamethrower: Armor, Arms, Balaclava, Belt, Boots, Canister, Chigurh, Gloves, Harness, Headgear, Lowerbody, Mantle, Mask, Upperbody, Visor",,
ID_PLAYERSKIN_HELIX,Helix,Helix,Helix,Helix,"Bag, ClothMaskDown, ClothMaskUp, Facemask, Helmet, HelmetEars, HelmetfaceToggle, Jacket, Mouthguard, PantToggle, Pants, Pauldron, ShoulderPad, TechBox","Helix: Bag, ClothMaskDown, ClothMaskUp, Facemask, Helmet, HelmetEars, HelmetfaceToggle, Jacket, Mouthguard, PantToggle, Pants, Pauldron, Shoulderpad, TechBox","Brigade (ID_PLAYERSKIN_BRIGADE) - duplicate, no exclusive model",
ID_PLAYERSKIN_HITECHHIKER,Trailbyte,HiTech_Hiker,HiTechHiker,HiTechHiker,"ArmScanner, Facemask, Fieldphone, GoggleCap, Goggles, HiTechParka, HikerPants, WinterGloves","HiTechHiker: ArmScanner, Facemask, Fieldphone, GoggleCap, Goggles, HiTechParka, HikerPants, WinterGloves",,
ID_PLAYERSKIN_HOPLOMACHUS,Triumph,Hoplomachus,Hoplomachus,Hoplomachus,"ArmArmor, ArmGuardL, ArmPad, Bandage, BeltBig, BeltSmall, ChestGuard, Helmet, HelmetAntenna, HelmetScreen, HelmetVisor, HipArmor, LegGuards, Pants, Shield, ShoulderPads, TechChest, WaistStraps, pauldron","Hoplomachus: ArmArmor, ArmGuardL, ArmPad, Bandage, BeltBig, BeltSmall, ChestGuard, Helmet, HelmetAntenna, HelmetScreen, HelmetVisor, HipArmor, LegGuards, Pants, Pauldron, Shield, ShoulderPads, TechChest, WaistStraps",,
ID_PLAYERSKIN_HORNETHUNTER,Hornet Hunter,HornetHunter,HornetHunter,HornetHunter,"Braids, Gauntlet, Helmet, HelmetOuter, Helmetside, Horntethead, Jacket, LowerBody, ShoulderpadTech, UpperBody, WaistcLoth, pauldron, pipewrench","HornetHunter: Braids, Gauntlet, Helmet, HelmetOuter, Helmetside, Horntethead, Jacket, Lowerbody, ShoulderpadTech, Upperbody, WaistcLoth, pauldron, pipewrench",,
ID_PLAYERSKIN_SHROUDHORNS,Misthorn,Horns,ShroudHorns,Horns; ShroudHorns,"Headgear, LowerBody, TechToggle, UpperBody, WaistToggle","ShroudHorns: Headgear, Lowerbody, TechToggle, Upperbody, WaistToggle",,
ID_PLAYERSKIN_HORNVEIL,Saltwalker,Hornveil,Hornveil,Hornveil,"Helmet, HelmetFringes, Hood, LeatherBag, LowerBody, Scarf, ShoulderPad, ShoulderPadSkull, ShoulderpadCloth, Sleeves, SpeakerBag, Torso","Hornveil: Helmet, HelmetFringes, Hood, LeatherBag, Lowerbody, Scarf, ShoulderPad, ShoulderPadSkull, ShoulderpadCloth, Sleeves, SpeakerBag, Torso",,
ID_PLAYERSKIN_HUNTSMAN,Huntsman,Huntsman,Huntsman,Huntsman,"Accessories, Cloak, Flask, FoxHat, FoxHatCards, Gasmask, Goggles, LowerBody, ShoulderFur, UpperBody","Huntsman: Accessories, Cloak, Flask, FoxHat, FoxHatCards, Gasmask, Goggles, LowerBody, ShoulderFur, UpperBody",,
ID_PLAYERSKIN_HYDROSCAV,Bog Walker,HydroScav,HydroScav,HydroScav,"Camera, Flashlight, Helmet, HelmetVisor, HoodDown, HoodUp, LowerBody, UpperBody","HydroScav: Camera, Flashlight, Helmet, HelmetVisor, HoodDown, HoodUp, LowerBody, UpperBody",,
ID_PLAYERSKIN_JANITOR,Warden,Janitor,Janitor,Janitor,"BeltBag, Cap, Gloves, Headset, LowerBody, UpperBody",,,
ID_PLAYERSKIN_JETPILOT,Aeronaut,Jet_Pilot,JetPilot,JetPilot,"Bag, Gloves, Harness, Helmet, Jacket, LegBelt, LegBox, Mask, Pants, Shoes, Visor","JetPilot: Bag, Gloves, Harness, Helmet, Jacket, LegBelt, LegBox, Mask, Pants, Shoes, Visor",,
ID_PLAYERSKIN_JUKEBOX,Cavalier,Jukebox,Jukebox,Jukebox,"FrontItem, Glasses, Helmet, Jukebox, LowerBody, Tech, UpperBody","Jukebox: FrontItem, Helmet, Jukebox, LowerBody, Tech, UpperBody",,
ID_PLAYERSKIN_LOOMER,Roamer,Loomer,Loomer,Loomer,"Armor, Balaclava, Boots, Fabric, Fur, Gloves, Goggles, Helmet, Mask, Pants, Pouches, Sweater","Loomer: Armor, Balaclava, Boots, Fabric, Fur, Gloves, Goggles, Helmet, Mask, Pants, Pouches, Sweater",,
ID_PLAYERSKIN_MACRAME,Macrame,Macrame,Macrame,Macrame,"Helmet, HipFabric, LowerBody, Mask, Scarf, Sword, TechDevice, UpperBody, pauldron","Macrame: Helmet, HipFabric, LowerBody, Mask, Pauldron, Scarf, Sword, TechDevice, UpperBody",,
ID_PLAYERSKIN_MASKSHIFT,Sheath,MaskShift,MaskShift,MaskShift,"Belt, BeltMasks, Boots, Cloak, Gloves, Headgear, Helmet1, Mask1, Mask2, Pants, Sleeves, Torso","MaskShift: Belt, BeltMasks, Boots, Cloak, Gloves, Headgear, Helmet1, Mask1, Mask2, Pants, Sleeves, Torso",,
ID_PLAYERSKIN_MATADOR,Matador,Matador,Matador,Matador,"Facemask, Hat, Hombererea, Jacket, Pants, Radio, ShoulderPad, Sunglass, UpperBody","Matador: Facemask, Hat, Hombererea, Jacket, Pants, Radio, Shoulderpad, Sunglass, Upperbody",,
ID_PLAYERSKIN_MOONBALL,Moonball,Moonball,Moonball,Moonball,"Headgear, Headgear_Outer, LowerBody, LowerBody_Fringes, Tech, Tech_Ammater, UpperBody, UpperBody_Fringes, UpperBody_Jacket, UpperBody_Necklace, UpperBody_Scarf","Moonball: Headgear, Headgear_Outer, LowerBody, LowerBody_Fringes, Tech, Tech_Ammater, UpperBody, UpperBody_Fringes, UpperBody_Jacket, UpperBody_Necklace, UpperBody_Scarf","Rachetta (ID_PLAYERSKIN_RACHETTA) - duplicate, no exclusive model",
ID_PLAYERSKIN_MOTORACER,Gearshifter,MotoRacer,MotoRacer,MotoRacer,"Helmet, LowerBody, UpperBody, Vest, Visor","MotoRacer: Helmet, LowerBody, UpperBody, Visor",,
ID_PLAYERSKIN_MOUNTAINEER,Cresta,Mountaineer,Mountaineer,Mountaineer,"ArmItem, Goggles, Helmet, IceClimbingShoes, Icepick, LowerBody, Tech, UpperBody, WristItem","Mountaineer: ArmItem, Goggles, Helmet, IceClimbingShoes, Icepick, LowerBody, Tech, UpperBody, WristItem",,
,,MrPink,,MrPink,All,,,
ID_PLAYERSKIN_NIGHTRUNNER,Azimuth,NightRunner,NightRunner,NightRunner,"Belts, Gloves, Harness, Helmet, Mask, Nightvision, Shoes, Suit","NightRunner: Belts, Gloves, Harness, Helmet, Mask, Nightvision, Shoes, Suit",,
ID_PLAYERSKIN_NOMADSHROUD,Rawhide,NomadShroud,NomadShroud,NomadShroud,"Belt, Boots, Hat, Mask, Pants, TankTop, TechArm, Vest","NomadShroud: Belt, Boots, Hat, Mask, Pants, TankTop, TechArm, Vest",,
ID_PLAYERSKIN_NOVA,Solare,Nova,Nova,Nova,"Antenna, BeltSash, Boots, Coil, Crown, Glove, HipFabric, HoodDown, HoodUp, Pants, TechLowerArm, TechUpperArm, UpperBody, Visor, VisorGlass","Nova: Antenna, BeltSash, Boots, Coil, Crown, Glove, HipFabric, HoodDown, HoodUp, Pants, TechLowerArm, TechUpperArm, UpperBody, Visor, VisorGlass",,
ID_PLAYERSKIN_NURSE,Surgeon,Nurse,Nurse,Nurse,"Adapter, Boots, Box, Glove, Harness, Hat, HatPart, LowerBody, Mask, Surgery, UpperBody","Nurse: Adapter, Boots, Box, Glove, Harness, Hat, HatPart, LowerBody, Mask, Surgery, UpperBody",,
ID_PLAYERSKIN_ORVAX,Scorta,Orvax,Orvax,Orvax,"Bells, ChestArmorshield, Gauntlet, Helmet, HelmetFace, Lowerbody, Mask, Pauldron, Pipe, Sleeves, TorsoArmor, Upperbody, Visor, WaistTech, beads","Orvax: Bells, ChestArmorshield, Gauntlet, Helmet, HelmetFace, Lowerbody, Mask, Pauldron, Pipe, Sleeves, TorsoArmor, Upperbody, Visor, WaistTech, beads",,
ID_PLAYERSKIN_PAULDROID,Torpedo,Pauldroid,Pauldroid,Pauldroid,"Arms, Balaclava, Chestbox, Harness, HarnessTech, HeadgearLower, HeadgearUpper, HeadgearVisor, LowerBody, Pants, Pauldrone, Torso","Pauldroid: Arms, Balaclava, Harness, HarnessTech, HeadgearLower, HeadgearUpper, HeadgearVisor, Lowerbody, Pants, Pauldrone, Torso",,
ID_PLAYERSKIN_PICKET,Riot,Picket,Picket,Picket,"Boots, Gloves, Helmet, LowerBody, UpperBody","Picket: Boots, Gloves, Helmet, LowerBody, UpperBody",,
ID_PLAYERSKIN_FIGHTERPILOT,Hawker,Pilot,FighterPilot,FighterPilot,"Helmet, HelmetVisor, Jacket, Knife, LowerBody, Tank, UpperBody","FighterPilot: Helmet, HelmetVisor, Jacket, Knife, LowerBody, Tank, UpperBody",,
ID_PLAYERSKIN_PIRATE,Corsaro,Pirate,Pirate,Pirate,"Cape, CyborgArm, CyborgLeg, Goggles, GunHolster, Hat, Jacket, LowerBody, Mask, Radio, ShoulderPad, UpperBody","Pirate: Cape, CyborgArm, CyborgLeg, Goggles, GunHolster, Hat, Jacket, Lowerbody, Mask, Radio, ShoulderPad, Upperbody",,
ID_PLAYERSKIN_POPSTAR,Maestro,Popstar,Popstar,Popstar,"Armgear, ChinGuard, Epaulettes, Gadgets, Glasses, Gloves, Helmet, Jacket, Lowerbody, Mask, Sleeves, Torso, Visor","Popstar: Armgear, ChinGuard, Epaulettes, Gadgets, Glasses, Gloves, Helmet, Jacket, Lowerbody, Mask, Sleeves, Torso, Visor",,
ID_PLAYERSKIN_LEMANS,Ryder,Racer,Lemans,Lemans,"Balaclava, Gasmask, Gear, Goggles, Helmet, LowerBody, UpperBody","Lemans: Balaclava, Gasmask, Gear, Goggles, Helmet, Lowerbody, Upperbody",,
ID_PLAYERSKIN_RAGS,Patchwork,Rags,Expeditioner,Expeditioner; Rags,"ArmArmorLower, ArmArmorUpper, Bandolier, Gasmask, Helmet, HipFabric, Kneepads, LegAccessories, Mask, Pants, Scarf, ScarfBody, Shoes, UpperBody","Expeditioner: Goggles[Racer], Mask, Pants, Scarf, ScarfBody, Shoes, UpperBody",Expeditioner (ID_PLAYERSKIN_EXPEDITIONER: Expeditioner),
ID_PLAYERSKIN_RECON,Blindspot,Recon,Recon,Recon,"ChestPlate, Hat, Headphone, HoodieUp, Hoodiedown, MaskTop, Pants, UpperBody, Vest, Visor","Recon: ChestPlate, Hat, Headphone, HoodieUp, Hoodiedown, MaskTop, Pants, Upperbody, Vest, Visor",,
ID_PLAYERSKIN_RECRUIT,Origin,Recruit,Recruit,Recruit,"Body, Gear, Glasses, Helmet, ToggleRadio","Recruit: Body, Gear, Glasses, Helmet, ToggleRadio",,
ID_PLAYERSKIN_RELAXEDASTRONAUT,Junkyard Astronaut,Relaxed,RelaxedAstronaut,RelaxedAstronaut,"Cap, Headset, Jacket, OperatorBag, Silencer, UpperBody, UpperbodyGear, WaistGear","RelaxedAstronaut: OverallBottom[Astronaut], Cap, Headset, Jacket, OperatorBag, Silencer, Upperbody, UpperbodyGear, WaistGear",,
ID_PLAYERSKIN_SCOURGERIDER,Sandwalker,Scourge_Rider,ScourgeRider,Scourge_Rider,"Gasmask, Gloves, Goggles, Headscarf, LowerBody, Radiobox, Sidebag, UpperBody","ScourgeRider: Gasmask, Gloves, Goggles, Headscarf, Lowerbody, Radiobox, Sidebag, Upperbody",,
ID_PLAYERSKIN_SCOUT,Velati,Scout,Scout,Scout,"Boots, Helmet, Jacket, JacketProps, Pants, PantsProps, Visor, Watches","Scout: Boots, Helmet, Jacket, JacketProps, Pants, PantsProps, Watches",,
ID_PLAYERSKIN_EXPLORER,Marco,Shani,Explorer,Explorer,"Camera, Fez, Glasses, Headset, Helmet, Jacket, LowerBody, UpperBody, Visor","Explorer: Camera, Helmet, Jacket, LowerBody, UpperBody, Visor",,
ID_PLAYERSKIN_SHOCKWARDEN,Static,ShockWarden,ShockWarden,ShockWarden,"Belt, Gloves, Helmet, Jacket, JacketClosed, JacketOpen, LowerSuit, Mask, ReinforcedPants, Sleeves, TechDeviceChest, TechDeviceRLeg, TechDeviceSide, Toolbag, UpperSuit, Visor","ShockWarden: Belt, Gloves, Helmet, Jacket, JacketClosed, JacketOpen, LowerSuit, Mask, ReinforcedPants, Sleeves, TechDeviceChest, TechDeviceRLeg, TechDeviceSide, Toolbag, UpperSuit, Visor",,
ID_PLAYERSKIN_SHROUD,Ombra,Shroud,Shroud,Shroud,"Accessories, Bag, Boots, Bracelet, Headgear, LowerBody, Scarf, UpperBody","Shroud: Accessories, Bag, Boots, Bracelet, Headgear, LowerBody, Scarf, UpperBody",,
ID_PLAYERSKIN_SPACECHAPS,Voltedge,SpaceChaps,SpaceChaps,SpaceChaps,"Belt, Cap, HandTech, HeadTech, Headphones, Hose, LowerBody, ShoulderPad, UpperBody, Vest","SpaceChaps: Belt, Cap, HandTech, HeadTech, Headphones, Hose, LowerBody, ShoulderPad, UpperBody, Vest",,
,,Sport,,Sport,BaseballHelmet,,,CONFLICT: Model Folder Name 'Sport' is also claimed by: 'Slugger' - source: model 'Sport' has part folder(s): BaseballHelmet - verify this isn't a parsing mistake or an intentional shared/recolor model.
ID_PLAYERSKIN_STEALTH,Volare,Stealth,Stealth,Stealth,"Bag, ClimbingGear, Headwear, Hoodie, Legpouch, Lens, LowerBody, Mouthcover, UpperBody, pauldron","Stealth: Bag, ClimbingGear, Headwear, Hoodie, Legpouch, Lens, Lowerbody, Mouthcover, Upperbody, pauldron",,
ID_PLAYERSKIN_THEKID,Junior,TheKid,TheKid,TheKid,"Boots, Helmet, Kneepads, LowerBody, Pauldrons, TechDevice, UpperBody","TheKid: Mask[Nurse], Boots, Helmet, Kneepads, LowerBody, Pauldrons, TechDevice, UpperBody",,
ID_PLAYERSKIN_VALE,Radio Renegade,Vale,Vale,Vale,"Cape, Chestbelt, Gloves, Goggles, Helmet, LowerBody, Mouthguard, Pouch, UpperBody","Vale: Cape, Chestbelt, Gloves, Goggles, Helmet, Lowerbody, Mouthguard, Pouch, Upperbody",,
ID_PLAYERSKIN_VANGUARD,Vanguard,Vanguard,Vanguard,Vanguard,"Helmet, LegPad, Legprotection, LowerBody, Mask, Shoulders, Sleeves, Teddy, Torso, UpperBody","Vanguard: Helmet, LegPad, Legprotection, Lowerbody, Mask, Shoulders, Sleeves, Teddy, Torso, Upperbody",,
ID_PLAYERSKIN_WASTELANDREBEL,Reaver,WastelandRebel,WastelandRebel,WastelandRebel,"Armor, Boots, Collar, Gloves, Helmet, Horns, Jacket, JacketSleeves, Mask, Pants, ShoulderPadSmall, ShoulderPadTire, Tech, Visor","WastelandRebel: Armor, Boots, Collar, Gloves, Helmet, Horns, Jacket, JacketSleeves, Mask, Pants, ShoulderPadSmall, ShoulderPadTire, Tech, Visor",,
ID_PLAYERSKIN_WAYFARER,Mirage,Wayfarer,Wayfarer,Wayfarer,"BeltItem, FaceCover, Goggles, LowerBody, Props, Scarf, Turban, UpperBody, WaterSkin","Wayfarer: BeltItem, FaceCover, Goggles, LowerBody, Props, Scarf, Turban, UpperBody, WaterSkin",,
ID_PLAYERSKIN_WELDER,Voyager,Welder,Welder,Welder,"ChestBuckle, Chestbox, Flask, Goggles, Headgear, HeadgearFur, LowerBody, Mailbox, Shells, UpperBody","Welder: ChestBuckle, Chestbox, Flask, Goggles, Headgear, HeadgearFur, LowerBody, Mailbox, Shells, UpperBody",,
ID_PLAYERSKIN_COWBOYMISSIONARY,Valente,Western,CowboyMissionary,CowboyMissionary,"Accessories, Belt, Goggles, Headgear, Hood, HoodDown, LegItem, LowerBody, Poncho, Scarf, UpperBody","CowboyMissionary: Accessories, Belt, Goggles, Headgear, Hood, HoodDown, LegItem, LowerBody, Poncho, Scarf, UpperBody",,
ID_PLAYERSKIN_SUBWAYOUTFIT,Subterranean,Wrapper,Wrapper,Wrapper,"ArmTech, Belt, BeltAttachments, Boots, Braces, Chinpad, Goggles, Harness, HarnessAttachments, Helmet, Mask, NeckCover, Pants, Sandwich, Shirt, Shoulderpads, Shovel, Vest, Visor","Wrapper: ArmTech, Belt, BeltAttachments, Boots, Braces, Chinpad, Goggles, Harness, HarnessAttachments, Helmet, Mask, NeckCover, Pants, Sandwich, Shirt, Shoulderpads, Shovel, Vest, Visor",,
ID_PLAYERSKIN_YARNFACE,Devotee,Yarnface,Yarnface,Yarnface,"HeadBox, Headgear, LowerBody, Mask, Shirt, Toga, TogaBox, Vest, VestBox","Yarnface: HeadBox, Headgear, Lowerbody, Mask, Shirt, Toga, TogaBox, Vest, VestBox",,
ID_PLAYERSKIN_ROCKETEER,Ace,,,Rocketeer,,,,
ID_PLAYERSKIN_GLITCH,Anomalia,,,,,,,
,,,,Bells,,,,
,,,,Buttero,,,,
,,,,Outlander,,,,
,,,,Patcher,,,,
ID_PLAYERSKIN_SANDVEIL,Sandveil,,,,,,,
,,,,StationMaster,,,,
ID_PLAYERSKIN_TICKHUNTER,Tick Hunter,,,TickHunter,,,,
ID_PLAYERSKIN_GRANDRACEROPTION2,Torch,,,,,,,
ID_PLAYERSKIN_VULPINE,Vulpine,,,,,,,
